Marketing Requirement ID,Requirement Type,Requirement Description,Applicability,Topic,Requirement Hardware ASIL,Priority,Requirement Kind,Requirement CrossLink(s),JIRA Status,JIRA Title Match,Requirement Status,Notes,Requirement Systematic ASIL,Requirement Systematic SIL,Requirement Hardware SIL,Requirement Parent(s),Requirement Children,Evidence,Date Modified,Revision,Ticket Link(s),Verification Link(s),Change Request Link(s)
,Product Requirement (PRD),Alexandria CPU shall support 255 interrupt identifiers for M-mode interrupt file and S-mode interrupt file.,Functional,Interrupt Handling,,P0,Shall,IPFEAT-335,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU shall support 5 Guest Supervisor Interrupt files and each interrupt file supports 63 interrupt identifiers,Functional,Interrupt Handling,,P0,Shall,IPFEAT-393,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU shall implement Resumable non-maskable interrupt (NMRI) smrnmi as non-maskable interrupt.,Functional,Interrupt Handling,,P0,Shall,IPFEAT-394,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement Resumable non-maskable interrupt (NMRI) smrnmi instead of NMI,Functional,Interrupt Handling,,P0,Shall,IPFEAT-334,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU shall support 5 Guest Supervisor Interrupt files,Functional,Interrupt Handling,,P0,Shall,IPFEAT-393,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall support the JTAG interface for debugging.,Functional,Debug and Trace,,P0,Shall,IPFEAT-337,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall support N-Trace.,Functional,Debug and Trace,,P0,Shall,IPFEAT-338,Backlog,Match,Proposed,"Trace encoder, trace funnel, Trace Sink",,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement instruction tracing and perfromance monitoring units capturing events as defined in section 9.4 of the ascalon_arch.pdf,Functional,Debug and Trace,,P0,Shall,IPFEAT-339,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall support clock monitoring on each core,Functional,Debug and Trace,,P0,Shall,IPFEAT-24,Under Review,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall support temperature monitoring,Functional,Debug and Trace,,P0,Shall,IPFEAT-34,Under Review,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall support code profiling,Functional,Debug and Trace,,P0,Shall,IPFEAT-28,Under Review,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria CPU cores shall support Machine, Hypervisor and Supervisor priveledge modes.",Functional,Security,,P0,Shall,IPFEAT-340,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall implement front-end security to mitigate against speculative side channel attacks.,Functional,Security,,P0,Shall,IPFEAT-389,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement physical memory protection (PMP),Functional,Security,,P0,Shall,IPFEAT-341,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-019,Product Requirement (PRD),Alexandria CPU cores shall support an interface for secure boot process.,Functional,Security,,P0,Shall,IPFEAT-222,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-017,Product Requirement (PRD),Alexandria CPU cores shall support Static Trusted Execution Environment (STEE),Functional,Security,,P0,Shall,IPFEAT-221,Backlog,Match,Proposed,MVP: Support trustzone equivalent features ,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria CPU cores shall implement Reliability, Availability and Serviceability (RAS) to comply with the RISC-V RAS specification.",Functional,Security,,P0,Shall,IPFEAT-343,Backlog,Match,Proposed,"RAS is fully supported on Asc and this support will carry over into ALX. Additionally, ALX will update RAS logging descriptors & use the RAS RERI interface to indicate FuSa failures.",,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall support Design for Testability (DFT),Functional,Testability,,P0,Shall,IPFEAT-376,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall allow for 3rd party DFT implementations.,Functional,Testability,,P0,Shall,IPFEAT-306,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall allow for 3rd party BIST implementations.,Functional,Testability,,P0,Shall,IPFEAT-43,Under Review,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement ssqosid Quality of Service identifiers.,Functional,QoS,,P0,Shall,IPFEAT-344,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement cbqti RISC-V Capacity and Bandwidth QoS regiser interface,Functional,QoS,,P0,Shall,IPFEAT-345,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria clusters shall support both Coherent and Non-Coherent combination of clusters by use of CHI.E and AXI-5 Lite interfaces.,Functional,Cluster Configurations,,P0,Shall,IPFEAT-267,Backlog,Match,Proposed,Does this need to be limited to 32 cores? i.e. (4 clusters of 8 cores) or (8 clusters of 4 cores).,,,,,,,,,,,
,Product Requirement (PRD),Alexandria clusters shall support Cluster Internal Network.,Functional,Cluster Configurations,,P0,Shall,IPFEAT-346,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria clusters shall support N-Trace trace unit.,Functional,Cluster Configurations,,P0,Shall,IPFEAT-347,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria clusters shall support Debug Unit, JTAG Debug Transport Module (DTM) and Debug Module (DM)",Functional,Cluster Configurations,,P0,Shall,IPFEAT-348,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall implement Cluster Power Management Logic (CPL),Functional,Cluster Configurations,,P0,Shall,IPFEAT-353,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-001,Product Requirement (PRD),Alexandria shall support a multi-core configuration (cluster) of 2 CPUs with 4MB L2 shared cache,Functional,Cluster Configurations,,P1,Shall,IPFEAT-349,Backlog,Match,Proposed,,,,,,,,,,,,
"MRD-001, MRD-024",Product Requirement (PRD),Alexandria shall support a multi-core configuration (cluster) of 4 CPUs with 4MB L2 shared cache,Functional,Cluster Configurations,,P0,Shall,IPFEAT-396,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-001,Product Requirement (PRD),Alexandria shall support a multi-core configuration (cluster) of 8 CPUs with 12MB L2 shared cache,Functional,Cluster Configurations,,P0,Shall,IPFEAT-350,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria clusters shall support Reset, Clock, Memory, RAS Error INT, Cluster ID pins and Debug interfaces.",Functional,Cluster Configurations,,P0,Shall,IPFEAT-351,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria CPU subsystem L2 shared cache sizes of 2MB, 4MB, 8MB and 12MB shall be build-time configurable",Functional,Cluster Configurations,,P1,Shall,IPFEAT-266,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),An Alexandria Software Development Kit (SDK) shall be produced.,Functional,Software,,P0,Shall,IPFEAT-352,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-019,Product Requirement (PRD),Secure boot process flow and assets shall be provided witihin the Alexandria SDK,Functional,Software,,P0,Shall,IPFEAT-302,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-049,Product Requirement (PRD),All necessary drivers for Alexandria core and cluster components shall be provided within the Alexandria BSP.,Functional,Software,,P0,Shall,IPFEAT-303,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-039,Product Requirement (PRD),Alexandria shall support automotive grade Linux (AGL) wrt architectural components,Functional,Software,,P0,Shall,IPFEAT-298,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-048,Product Requirement (PRD),Alexandria shall support QNX wrt architectural components,Functional,Software,,P0,Shall,IPFEAT-299,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-040,Product Requirement (PRD),Alexandria shall support Android Auto wrt architectural components,Functional,Software,,P0,Shall,IPFEAT-300,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria HAL shall implement platform-abstraction APIs for peripherals, CSR access, timer, PLIC, and CLINT, adhering to RVA23 CSR layout.",Functional,Software,,P0,Shall,IPFEAT-408,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria boot & startup code shall implement safe, deterministic power-on and warm-restart routines; early self-tests and hardware diagnostics.",Functional,Software,,P0,Shall,IPFEAT-409,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria safety self-tests shall implement CPU register, PC, ALU, FPU, and memory BISTs (LBIST/MBIST integration hooks).",Functional,Software,,P0,Shall,IPFEAT-410,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria safety library shall implement pre-certified (or certifiable) math, memory, and control libraries with fault detection mechanisms.",Functional,Software,,P0,Shall,IPFEAT-411,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-042,Product Requirement (PRD),"Alexandria shall support safety RTOS (SafeRTOS, Zephyr with Safety Extension, or AUTOSAR OS); task isolation and watchdog integration.",Functional,Software,,P0,Shall,IPFEAT-412,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria memory protection shall implement PMP abstraction layer for isolation and fault containment.,Functional,Software,,P0,Shall,IPFEAT-413,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software interrupt architecture shall implement a configurable interrupt handler framework supporting CLINT and APLIC with nesting, masking, and determinism.",Functional,Software,,P0,Shall,IPFEAT-414,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software diagnostoic framework shall implement APIs for runtime diagnostics, including end-to-end communication tests, CRCs, heartbeat monitors, etc.",Functional,Software,,P0,Shall,IPFEAT-415,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software logging and traceability shall implement structured logging for safety events, with optional trace instrumentation points.",Functional,Software,,P0,Shall,IPFEAT-416,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software configuration shall implement a YAML/JSON-based configuration layer for soft IP integration, allowing adaptation to different system instances.",Functional,Software,,P0,Shall,IPFEAT-417,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software shall implement RV32I Base Integer ISA‚ Required, for compiling and running C code",Functional,Software,,,,IPFEAT-418,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software shall implement M-extension (for `mul`, `div`, etc.) Required for full compiler math support",Functional,Software,,,,IPFEAT-419,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software shall implement Zicsr Required for CSR manipulation (e.g., `mstatus`, `mie`) from software",Functional,Software,,,,IPFEAT-420,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall implement Zifencei Required to ensure software can manage instruction cache coherency,Functional,Software,,,,IPFEAT-421,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall support Machine mode (M-mode) Base requirement for bare-metal and RTOS software,Functional,Software,,,,IPFEAT-422,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall support trap/interrupt handling in M-mode Required to write handlers in C/assembly,Functional,Software,,,,IPFEAT-423,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software shall support atomic word access (AMO swap, compare-and-swap) Required for software synchronization",Functional,Software,,,,IPFEAT-424,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall support for misaligned memory access handling via trap Ensures compliant compiler behavior,Functional,Software,,,,IPFEAT-425,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall be compatible with GCC and LLVM RISC-V toolchains,Functional,Software,,,,IPFEAT-426,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall be compatible with `newlib` or other lightweight C runtime libraries,Functional,Software,,,,IPFEAT-427,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall support interrupt and timer handler software,Functional,Software,,,,IPFEAT-428,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall be testable with RISCOF/ISA validation software,Functional,Software,,,,IPFEAT-429,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software shall expose debug-visible state (PC, privilege level) to firmware/software tools",Functional,Software,,,,IPFEAT-430,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria software shall include a programmer manual (CSR list, trap behavior, privilege details)",Non-functional,Software,,,,IPFEAT-431,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria software shall provide software examples and toolchain integration guide,Non-functional,Software,,,,IPFEAT-432,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-009,Product Requirement (PRD),"   Alexandria clusters shall support a build time configurable operating mode of SPLIT, HYBRID or LOCK mode, exclusive.",Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-269,Backlog,Match,Proposed,"By default, Hybrid mode will have lock-step non-core logic to help entire cluster meet ASIL B, however, to improve PPA, it is preferred not to lock-step the entire non-core portion as much as we can ",,,,,,,,,,,
MRD-009,Product Requirement (PRD),"Alexandria clusters shall support a boot-time configurable operating mode of SPLIT, HYBRID or LOCK mode, exclusive.",Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-395,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-011,Product Requirement (PRD),Alexandria clusters shall support RAS error reporting registers on all components employing SRAM complying with the RERI specification.,Functional,RAS,ASIL-D,P0,Shall,IPFEAT-52,Under Review,Match,Proposed,,,,,,,,,,,,
MRD-011,Product Requirement (PRD),Alexandria shall support fault injection mechanisms to enable testing of hardware safety features.,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-50,Under Review,Match,Proposed,Any protected SRAM memories,,,,,,,,,,,
MRD-011,Product Requirement (PRD),Alexandria shall support real-time hardware safety monitors to detect and respond to CPU faults.,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-56,Under Review,Match,Proposed,,,,,,,,,,,,
MRD-011,Product Requirement (PRD),Alexandria shall have a separate physical bus for configuring and reporting safety relevant information,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-55,Under Review,Match,Proposed,,,,,,,,,,,,
MRD-011,Product Requirement (PRD),Alexandria shall support a silicon lifecycle managment (SLM) APB and IEEE-1687 IJTAG interface. (industry trend to include as IP 'bundle') Checking with Ian.,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-354,Backlog,No match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria clusters shall support SPLIT mode,Functional,FuSa,ASIL-QM,P0,Shall,IPFEAT-247,Backlog,Match,Proposed,Each core and non-core logic operates independently and there is no hardware support for diagnostics in shared resources,,,,,,,,,,,
MRD-010,Product Requirement (PRD),Alexandria clusters shall support HYBRID mode,Functional,FuSa,ASIL-B,P0,Shall,IPFEAT-268,Backlog,Match,Proposed,Each core operates independently and non-core logic operates in time-shifted lockstep and there are hardware diagnostic mechanisms for shared resources.,,,,,,,,,,,
MRD-011,Product Requirement (PRD),Alexandria shall include RTL Built-In Self-Test (BIST) capabilities for logic and memory components to support manufacturing test and in-field diagnostics as well as FuSa compliance. ,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-357,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-010,Product Requirement (PRD),"Alexandria shall implement a fault management unit for detecting, handling and reporting faults and exceptions.",Functional,FuSa,ASIL-B,P0,Shall,IPFEAT-358,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-011,Product Requirement (PRD),Alexandria clusters shall support LOCK mode,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-225,Backlog,Match,Proposed,Pairs of cores and non-core logic operate in time-shifted lockstep and there are hardware diagnostic mechanisms for shared resources,,,,,,,,,,,
MRD-009,Product Requirement (PRD),Alexandria shall fulfill systematic processes,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-12,Under Review,Match,Proposed,,,,,,,,,,,,
MRD-009,Product Requirement (PRD),Alexandria shall implement bus Interface protection enabled,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-45,Under Review,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria shall implement memory protection for all memories (cache, register files, etc.)",Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-360,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall support the ability for individual CPU cores to have run-time LBIST (request from Denso) Check on actual customer need & expectations Chceking with Ian,Functional,FuSa,ASIL-D,P0,Shall,IPFEAT-304,Backlog,No match,Proposed,check with Sam/Ian,,,,,,,,,,,
MRD-012,Product Requirement (PRD),Alexandria software hall achieve ASIL-B in HYBRID mode with use of STLs,Functional,Software,,P0,Shall,IPFEAT-282,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria STLs shall provide API response code.,Functional,Software,,P0,Shall,IPFEAT-365,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria STLs shall not interfere with system application software.,Functional,Software,,P0,Shall,IPFEAT-370,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria STLs shall be configurable for different SoC designs.,Functional,Software,,P0,Shall,IPFEAT-367,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria STLs shall detect a fault within TBD DTTI.,Functional,Software,,P0,Shall,IPFEAT-368,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria STLs shall be interruptable.,Functional,Software,,P0,Shall,IPFEAT-369,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria STLs shall when resuming from an interrupt, restore to fail-safe checkpoint within TBD latency (Wei-ren to clarrify)",Functional,Software,,P0,Shall,IPFEAT-371,Backlog,No match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria STLs shall be portable for future Ascalon uArch products.,Functional,Software,,P0,Shall,IPFEAT-372,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria STLs shall provide comprehensive boot-time diagnostics.,Functional,Software,,P0,Shall,IPFEAT-373,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria boot-time STL diagnostics may be destructive.,Functional,Software,,P0,Shall,IPFEAT-374,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria STLs shall provide non-destructive run-time diagnostics.,Functional,Software,,P0,Shall,IPFEAT-375,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),The RISC-V Compiler and toolchain for Alexandria shall be qualified to meet ASIL D requirements,Functional,Software,,P0,Shall,IPFEAT-37,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-013,Product Requirement (PRD),Alexandria STLs shall operate within ___ cycle and provide sufficient coverages with other hardware safety mechanisms ,Functional,Software,,P0,Shall,IPFEAT-283,Backlog,Match,Proposed,Benchmark that captures cycles? should not exceed X% of Benchmark cycle? Capture as percentage impact of STL operating?,,,,,,,,,,,
,Product Requirement (PRD),STLs for achieving ASIL-B (if applicable) shall have less than a 5% performance impact to SPEC and Dhrystone benchmark targets.,Functional,Software,,P0,Shall,IPFEAT-284,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),All Alexandria firmware & software components shall be developed to meet ASIL-D requirements.,Functional,Software,,P0,Shall,IPFEAT-288,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall support a build-time configuration to restrict Double Precision Floating Point results to 4 per cycle to comply with Export Control,Functional,Export Control,,P0,Shall,IPFEAT-270,Backlog,Match,Proposed,https://tenstorrent.atlassian.net/wiki/spaces/RVRTLDV/pages/417136699,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall support a build-time configuration to remove all cryptography capabilities to comply with Export Control,Functional,Export Control,,P0,Shall,IPFEAT-440,Backlog,Match,,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall achieve at least 25.27 Dmips / Mhz Dhrystone,Non-functional,Performance,,P0,Shall,IPFEAT-220,Backlog,Match,Proposed,MVP: 25.27 Dmips/MHz,,,,,,,,,,,
MRD-025,Product Requirement (PRD),"Alexandria CPU core shall achieve at least 20 SPECint2006 / GHz, base score (single core)",Non-functional,Performance,,P0,Shall,IPFEAT-253,Backlog,Match,Proposed,MVP: >18.2 /GHz SpecINT2k6 without software optimization ASC = 20.44 as of 4/25,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria CPU core shall achieve at least 22 SPECint2006 / GHz, peak score (single core)",Non-functional,Performance,,P0,Shall,IPFEAT-271,Backlog,Match,Proposed,MVP: >20/GHz. ASC = 22 as of 4/25,,,,,,,,,,,
,Product Requirement (PRD),Alexandria clusters shall achieve SPECint_rate 2006 / GHz peak score within 5% linenarly scaled per core count (multi-core),Non-functional,Performance,,P0,Shall,IPFEAT-272,Backlog,Match,Proposed,Shall be within 5% of linear scaling,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU core shall achieve at least 2.1 SPECint2017 / GHz (single core),Non-functional,Performance,,P0,Shall,IPFEAT-273,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria CPU core shall run at an Fmax minimun of 2.25 GHz sustained frequency in TSMC N3A Vdd = Vnom - 10%, SS, -40C to 125C Tj, Ta max = 105C",Non-functional,Performance,,P0,Shall,IPFEAT-49,Under Review,Match,Proposed,"shall meet timing closure at 2.3 GHz at -40C to 125C Tj, SS< Vdd = Vnom - 10%V (0.675 N3A). Meera - 2 GHz at N3A",,,,,,,,,,,
,Product Requirement (PRD),Alexandria clusters shall have less than a 20% SPEC score degradation as compared to single core performance.,Non-functional,Performance,,P0,Shall,IPFEAT-390,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-026,Product Requirement (PRD),Alexandria Fmax should be greater than 2.375 GHz on SF4X,Non-functional,Performance,,P0,Shall,IPFEAT-274,Backlog,Match,Proposed,Shall be within 3-5% of Ascalon D8 under same technology node,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria Static Power (including leakage) shall be less than 1.69 W (Dhrystone), 3.4 W (Virus) for 1 CPU core + 1/8 SC",Non-functional,Power,,P0,Shall,IPFEAT-385,Backlog,Match,Proposed,P0: +3% reduction compared to Ascalon D8,,,,,,,,,,,
,Product Requirement (PRD),Alexandria Dynamic Power shall be less than 0.51/GHz (Dhrystone) and 0.95W/GHz (Virus) for 1 CPU core + 1/8 SC,Non-functional,Power,,P0,Shall,IPFEAT-276,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria Static Power (including leakage) should be less than 1.2W (Dhrystone), 2.1W (Virus) for 1 CPU core + 1/8 SC",Non-functional,Power,,P1,Shall,IPFEAT-386,Backlog,Match,Proposed,P1: -20% reduction compared to Ascalon D8,,,,,,,,,,,
