Requirement ID,Requirement Type,Requirement Kind,Requirement Description,Priority,PR Mappings,Requirement Parent(s),Requirement Children,Requirement CrossLink(s),Requirement Systematic ASIL,Requirement Hardware ASIL,Requirement Systematic SIL,Requirement Hardware SIL,Requirement Status,Evidence,Date Modified,Revision,Ticket Link(s),Verification Link(s),Change Request Link(s),Notes,,,,
MRD-015,Marketing Requirement (MRD),Shall,[FuSa] Firmware and driver shall be developed to meet ASIL. D requirement ,P0,IPFEAT-288,,,,,,,,Proposed,,,1.1,,,,Good to have ,,,,
MRD-016,Marketing Requirement (MRD),Shall,[FuSa] Compiler and toolchain shall be qualified to meet ASIL D requirement [FuSa] ,P1,IPFEAT-37,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-017,Marketing Requirement (MRD),Shall,[Security] Support trustzone equivalent features ,P0,IPFEAT-221,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-018,Marketing Requirement (MRD),Shall,[Security] Support ISO21434 process for at least threat analysis ,P0,"IPFEAT-221, IPFEAT-222",,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-019,Marketing Requirement (MRD),Shall,[Security] Support secure boot ,P0,"IPFEAT-222, IPFEAT-302",,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-020,Marketing Requirement (MRD),Shall,[Quality] IP shall meet AEC-Q100 Grade 2 ,P0,IPFEAT-307,,,,,,,,Proposed,,,1.0,,,,As reference for key target application ADS ,,,,
MRD-021,Marketing Requirement (MRD),Shall,[Quality] Support automotive quality management system requirement,P0,,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-022,Marketing Requirement (MRD),Shall,[Quality] Mission profile for Robo-Taxi,P0,,,,,,,,,Proposed,,,1.0,,,,"
Lifetime 5 years 
Driving-On time 34,675 hours 
Inhibited – off time 3700 hours 
Charging - standby 5475 hours
Total KM during life 640,000KM 
",,,,
MRD-023,Marketing Requirement (MRD),Shall,[Quality]  Mission profile for Passenger Car,P0,,,,,,,,,Proposed,,,1.0,,,,"
Lifetime 15 years 
Driving-On time 16,425 hours 
Inhibited – off time 114,975 hours 
Charging - standby 
Total KM during life 240,000KM 
",,,,
MRD-024,Marketing Requirement (MRD),Shall,[Conf] 4 core configuration,P0,IPFEAT-396,,,,,,,,Proposed,,,1.0,,,,Internal customer requirement,Tj ,Distribution ,Operating Hours (Passenger) ,Operating Hours (Robotaxi) 
MRD-025,Marketing Requirement (MRD),Shall,[Perf]  >18.2 SPECint2006/GHz (single core),P0,IPFEAT-253,,,,,,,,Proposed,,,1.0,,,,,0 ,6% ,985.5 ,2080.5 
MRD-026,Marketing Requirement (MRD),Shall,[Perf] Fmax degradation shall be within 3-5% of Ascalon D8 under same technology node,P0,IPFEAT-274,,,,,,,,Proposed,,,1.0,,,,,50 ,20% ,3285 ,6935 
MRD-027,Marketing Requirement (MRD),Shall,"[Perf] Target process node for SOP:  N7A, N4, N3A, SF4A, SF5A",P1,"IPFEAT-387, IPFEAT-254, IPFEAT-255, IPFEAT-256",,,,,,,,Proposed,,,1.0,,,,,90 ,65% ,10767 ,22538.8 
MRD-028,Marketing Requirement (MRD),Shall,"[Perf] Auto: 2GHz, -40C to 125C Tj, SS< Vdd = Vnom - 10%V (0.675 N5A)",P0,IPFEAT-49,,,,,,,,Proposed,,,1.0,,,,,120 ,8% ,1314 ,2774 
MRD-029,Marketing Requirement (MRD),Shall,[Perf] Improve multi-core scaling by _%,P1,,,,,,,,,Proposed,,,1.0,,,,Focused on multi-core scaling within the cluster,125 ,1% ,164 ,346.8 
MRD-030,Marketing Requirement (MRD),Shall,[Power] -20% power reduction compared to single core Ascalon D8,P0,IPFEAT-390,,,,,,,,Proposed,,,1.0,,,,,,Total: ,16425 ,34674 
MRD-031,Marketing Requirement (MRD),Shall,[Power] Improve power management features to be on par with Arm,P0,IPFEAT-353,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-032,Marketing Requirement (MRD),Shall,[Area] Core area shall be improved by 20% compared to Ascalon D8 under same technology node,P0,IPFEAT-280,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-033,Marketing Requirement (MRD),Shall,[Other] Fully synthesizable,,IPFEAT-305,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-034,Marketing Requirement (MRD),Shall,[Other] Alexandria shall be a soft IP which customer DFT strategy can be supported,P0,"IPFEAT-376, IPFEAT-305, IPFEAT-306",,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-035,Marketing Requirement (MRD),Shall,[Other] Alexandria shall have mean to allow system to control power and clock frequency changes,P0,IPFEAT-353,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-036,Marketing Requirement (MRD),Shall,[Other] Alexandria shall have mean to allow system to execute thermal management policy decision,P0,,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-037,Marketing Requirement (MRD),Shall,[Other] Alexandria shall be able to power on/off different cores within the cluster,P0,,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-038,Marketing Requirement (MRD),Shall,[Other]Alexandria shall support the ability for individual CPU cores to have LBIST run on them at runtime,P0,IPFEAT-304,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-039,Marketing Requirement (MRD),Shall,[Software] Alexandria shall support Safety-specific Rich OS (Linux variants) such as AGL & ELISA,P0,IPFEAT-298,,,,,,,,Proposed,,,1.0,,,,Pre-requisite for IVI market entry,,,,
MRD-040,Marketing Requirement (MRD),Should,[Software] Alexandria should support Android Automotive OS,P0,IPFEAT-300,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-041,Marketing Requirement (MRD),Shall,[Software] Alexandria shall support Zephyr (w/ Safety extensions),P0,IPFEAT-412,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-042,Marketing Requirement (MRD),Should,[Software] Alexandria should support SafeRTOS,P1,IPFEAT-412,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-043,Marketing Requirement (MRD),Should,[Software] Alexandria should support GreenHills Integrity RTOS,P2,,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-044,Marketing Requirement (MRD),Shall,[Software] Alexandria should support WindRiver VxWorks RTOS,P2,,,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-045,Marketing Requirement (MRD),Shall,[Software] Alexandria shall support Xen Hypervisor,P0,,,,,,,,,Proposed,,,1.0,,,,External bring-up required,,,,
MRD-046,Marketing Requirement (MRD),Should,[Software] Alexandria should support WindRiver Helix (hypervisor),P2,,,,,,,,,Proposed,,,1.0,,,,External bring-up required,,,,
MRD-047,Marketing Requirement (MRD),Should,[Software] Alexandria should support GreenHills Integrity Multivisor,P2,,,,,,,,,Proposed,,,1.0,,,,External bring-up required,,,,
MRD-048,Marketing Requirement (MRD),Shall,[Software] Alexandria shall support full QNX automotive safety software suite (OS/RTOS & Neutrino Hypervisor),P0,,,,,,,,,Proposed,,,1.0,,,,External bring-up required,,,,
MRD-049,Marketing Requirement (MRD),Should,[Software] Alexandria shall enable customer BSP and boot packages,P0,IPFEAT-303,,,,,,,,,,,1.0,,,,,,,,
MRD-050,Marketing Requirement (MRD),,,,,,,,,,,,,,,,,,,,,,,
MRD-051,,,,,,,,,,,,,,,,,,,,,,,,
MRD-052,,,,,,,,,,,,,,,,,,,,,,,,
